id,model,release,hashRate,power,algo,profitability,efficiency,X,Y
0,"Goldshell CK5","Mar 2021","12","2400","Eaglesong","91.71","0.2","-1.7526960699810956","1.3759183384429918"
1,"iBeLink BM-N1","Nov 2020","6.6","2400","Eaglesong","47.33","0.364","-0.7498638892570555","0.49033161939872744"
2,"Todek Toddminer C1 PRO","May 2020","3","2700","Eaglesong","16.88","0.9","-0.22462350445252421","-0.08845663451519689"
3,"Bitmain Antminer K5","Apr 2020","1.13","1580","Eaglesong","4.74","1.398","0.6575835910546995","-0.4383413134180675"
4,"Todek Toddminer C1","Mar 2020","1.55","1380","Eaglesong","8.76","0.89","0.6752753847616645","-0.3773407788171782"
5,"Bitmain Antminer Z15","Jun 2020","0.00000042","1510","Equihash","16.69","3595000","0.7651674608481946","0.6391633108849162"
6,"Innosilicon A9++ ZMaster","May 2019","0.00000014","1550","Equihash","2.55","11071000","1.6213397668543796","2.1449942335539265"
7,"Bitmain Antminer Z11","Apr 2019","0.000000135","1418","Equihash","2.68","10504000","1.6443333940704492","2.000164139999155"
8,"Innosilicon A9+ ZMaster","Jan 2019","0.00000012","1550","Equihash","1.55","12917000","1.788115875613289","2.564507814850139"
9,"ASICminer Zeon 180K","Sep 2018","0.00000018","2200","Equihash","2.68","12222000","1.3622347738639786","2.4829171915250754"
10,"Bitmain Antminer Z9","Sep 2018","0.000000042","970","Equihash","-0.69","23095000","2.9525705272282416","4.8863947039194136"
11,"Innosilicon A9 ZMaster","Jun 2018","0.00000005","620","Equihash","0.72","12400000","2.261548511016486","2.3371509030615853"
12,"Bitmain Antminer Z9 Mini","Jun 2018","0.00000001","300","Equihash","-0.36","30000000","3.8535425125462455","6.471493056462246"
13,"Innosilicon A11 Pro ETH","Jun 2021","0.002","2500","EtHash","192.40","1250","-3.571172524801607","3.307610245122078"
14,"Innosilicon A10 Pro+ ETH","Dec 2020","0.000750","1350","EtHash","70.96","1800","-0.5221927734177373","0.8285884999532891"
15,"Innosilicon A10 Pro ETH","May 2020","0.0005","960","EtHash","47.13","1920","0.16408731579338479","0.3265506672241662"
16,"Goldshell LT5","Mar 2021","0.00205","2080","Scrypt","9.28","1015","0.32274260872874183","-0.30613706458818396"
17,"Innosilicon A6+ LTCMaster","Mar 2019","0.0022","2100","Scrypt","10.34","955","0.2907885261786612","-0.28356651828494617"
18,"FusionSilicon X6 Miner","Aug 2018","0.00086","1079","Scrypt","3.30","1255","0.9785154301244553","-0.5177277687688723"
19,"Bitmain Antminer L3++","May 2018","0.00058","942","Scrypt","1.61","1624","1.0857586901060263","-0.5636169689994894"
20,"Bitmain Antminer L3++","May 2018","0.000596","1050","Scrypt","1.42","1762","1.0317557212951394","-0.5570494951093752"
21,"BW L21","Jan 2018","0.00055","950","Scrypt","1.36","1727","1.086493622551196","-0.5677129814558792"
22,"Innosilicon A6 LTCMaster","Jan 2018","0.00123","1500","Scrypt","4.84","1220","0.7222557171180467","-0.44775170111695844"
23,"Innosilicon A4+ LTCMaster","Nov 2017","0.00062","750","Scrypt","2.46","1210","1.1714859985254984","-0.5653355678750929"
24,"Bitmain Antminer L3+","Oct 2017","0.0006","850","Scrypt","1.85","1517","1.1301955380655584","-0.5676836751157441"
25,"Innosilicon A4 Dominator","Jul 2017","0.00028","1050","Scrypt","-0.94","3750","1.0792064516652973","-0.6026367364517965"
26,"Bitmain Antminer L3+","Jun 2017","0.000504","800","Scrypt","1.45","1587","1.1649864716147382","-0.58021597074931"
27,"Bitmain Antminer S19j","Jun 2021","90","3250","SHA-256","26.93","0.036","-2.5508926795248623","0.47312877390461006"
28,"Bitmain Antminer S19j Pro","Jun 2021","100","3050","SHA-256","31.53","0.031","-2.746381477630365","0.5799461176128176"
29,"Innosilicon T2 Turbo 29T/30T","Jan 2021","30","2400","SHA-256","5.18","0.08","-0.397653883509369","-0.2480260028392583"
30,"Canaan AvalonMiner 1246","Jan 2021","90","3420","SHA-256","26.44","0.038","-2.6320886093307294","0.4796885095891453"
31,"MicroBT Whatsminer M31S+","Dec 2020","80","3360","SHA-256","22.58","0.042","-2.31222922228752","0.36265494487478794"
32,"MicroBT Whatsminer M32S","Nov 2020","66","3432","SHA-256","16.73","0.052","-1.9390083605600064","0.2048986548117406"
33,"StrongU Hornbill H8","Oct 2020","74","3330","SHA-256","20.25","0.045","-2.1232453311874946","0.29273061585334326"
34,"MicroBT Whatsminer M30S++","Oct 2020","112","3472","SHA-256","35.16","0.031","-3.2975175522047375","0.7340249049170889"
35,"MicroBT Whatsminer M30S+","Oct 2020","100","3400","SHA-256","30.53","0.034","-2.9137263608235466","0.5936236598021527"
36,"Canaan AvalonMiner 1146 Pro","Aug 2020","63","3276","SHA-256","15.97","0.052","-1.7771432687977413","0.1644682157037005"
37,"Canaan AvalonMiner 1166 Pro","Aug 2020","81","3400","SHA-256","22.87","0.042","-2.360494419880593","0.37570928145351334"
38,"MicroBT Whatsminer M32","Jul 2020","62","3348","SHA-256","15.36","0.054","-1.7824284337438159","0.1557906928729032"
39,"Bitmain Antminer T19","Jun 2020","84","3150","SHA-256","24.80","0.038","-2.328439811817997","0.4004689363501673"
40,"Bitmain Antminer S19","May 2020","95","3250","SHA-256","28.94","0.034","-2.696364031816386","0.530361672791337"
41,"Bitmain Antminer S19 Pro","May 2020","110","3250","SHA-256","34.99","0.03","-3.1331788178077655","0.702450699630999"
42,"MicroBT Whatsminer M31S","Apr 2020","76","3220","SHA-256","21.01","0.044","-2.1216609871580387","0.3043326416309461"
43,"MicroBT Whatsminer M30S","Apr 2020","86","3268","SHA-256","25.26","0.038","-2.4429100919048437","0.4278395541799527"
44,"ASICminer 8 Nano S 58Th","Dec 2019","58","2500","SHA-256","16.18","0.043","-1.260701651440118","0.0769660122006687"
45,"Bitmain Antminer T17+","Dec 2019","64","3200","SHA-256","16.59","0.05","-1.7699169673784625","0.17296154308164316"
46,"Bitmain Antminer S17+","Dec 2019","73","2920","SHA-256","21.02","0.04","-1.898129932832096","0.2652729241972678"
47,"Bitmain Antminer T17e","Nov 2019","53","2915","SHA-256","12.97","0.055","-1.3133672820827995","0.03567196508228268"
48,"Bitmain Antminer S17e","Nov 2019","64","2880","SHA-256","17.51","0.045","-1.6170304255743437","0.1605678838871043"
49,"Ebang Ebit E12+","Sep 2019","50","2500","SHA-256","12.96","0.05","-1.0278673416164583","-0.014684691055113783"
50,"Ebang Ebit E12","Sep 2019","44","2500","SHA-256","10.54","0.057","-0.8531414267906575","-0.08352030050670864"
51,"Canaan AvalonMiner 1047","Sep 2019","37","2380","SHA-256","8.06","0.064","-0.5919286788213902","-0.1685086610383788"
52,"Canaan AvalonMiner 1066","Sep 2019","50","3250","SHA-256","10.80","0.065","-1.3861200369698228","0.014289761642991764"
53,"Innosilicon T3+ 57T","Sep 2019","57","3300","SHA-256","13.48","0.058","-1.6138638082527594","0.09654261387949158"
54,"StrongU STU-U8 Pro","Sep 2019","60","2800","SHA-256","16.13","0.047","-1.4623916352313568","0.11164411740112132"
55,"MicroBT Whatsminer M21","Aug 2019","31","1860","SHA-256","7.14","0.06","-0.16886231611137925","-0.2573863849388977"
56,"MicroBT Whatsminer M20S","Aug 2019","68","3360","SHA-256","17.74","0.049","-1.9627773931923518","0.2249837243068039"
57,"Bitmain Antminer S9k","Aug 2019","13.5","1310","SHA-256","1.67","0.097","0.6033867562392015","-0.4793202664887483"
58,"Innosilicon T3 50T","Jul 2019","50","3100","SHA-256","11.23","0.062","-1.314429424971571","0.008455838132988093"
59,"StrongU STU-U8","Jul 2019","46","2100","SHA-256","12.50","0.046","-0.7203420095488432","-0.07600211697346344"
60,"Bitmain Antminer S9 SE","Jul 2019","16","1280","SHA-256","2.76","0.08","0.5450092377327247","-0.45189012189512473"
61,"MicroBT Whatsminer M21S","Jun 2019","56","3360","SHA-256","12.90","0.06","-1.6133255637792219","0.08731250469013098"
62,"Bitmain Antminer T17","May 2019","40","2200","SHA-256","9.79","0.055","-0.5933430478425785","-0.1410134990356934"
63,"Innosilicon T3+ 52T","May 2019","52","2800","SHA-256","14.63","0.042","-1.2640200440795522","0.053561765820442656"
64,"Bitmain Antminer S17","Apr 2019","53","2385","SHA-256","14.50","0.045","-1.0602741752550366","0.015266944665006743"
65,"Bitmain Antminer S17","Apr 2019","56","2520","SHA-256","15.32","0.045","-1.2120985740114025","0.054876731284495786"
66,"Bitmain Antminer S17 Pro","Apr 2019","50","1975","SHA-256","14.47","0.04","-0.7770503819017791","-0.03500584079525643"
67,"Bitmain Antminer S17 Pro","Apr 2019","53","2094","SHA-256","15.34","0.04","-0.9213105994032247","0.0040623288647277985"
68,"Innosilicon T3 39T","Mar 2019","39","2150","SHA-256","9.53","0.055","-0.5403251913854429","-0.15443074182059843"
69,"Innosilicon T3 43T","Jan 2019","43","2100","SHA-256","11.29","0.049","-0.6329790521756881","-0.11041992181817473"
70,"Holic H28","Dec 2018","28","2100","SHA-256","5.24","0.075","-0.19616426443551585","-0.2825089434256257"
71,"Holic H22","Dec 2018","22","1700","SHA-256","4.26","0.073","0.16385925292787482","-0.36117684681894335"
72,"Bitmain Antminer T15","Dec 2018","23","1541","SHA-256","4.84","0.067","0.21632316063607746","-0.36133590612388844"
73,"Bitmain Antminer S15","Dec 2018","28","1596","SHA-256","6.69","0.057","0.0446120016373395","-0.3020094425798393"
74,"Bitfury Tardis","Nov 2018","80","6300","SHA-256","14.11","0.079","-3.7165236877069923","0.4761801481081806"
75,"Bitmain Antminer S11","Nov 2018","20.5","1530","SHA-256","3.86","0.075","0.2944470537990579","-0.39050768261078544"
76,"GMO miner B3","Nov 2018","33","3417","SHA-256","3.46","0.104","-0.9707866573299379","-0.1743391356965819"
77,"Innosilicon T2 Turbo 25T","Oct 2018","25","2050","SHA-256","4.18","0.082","-0.08503801242408718","-0.31874127834992405"
78,"Ebang Ebit E11++","Oct 2018","44","1980","SHA-256","12.04","0.045","-0.6048009789859381","-0.10356241519346046"
79,"Ebang Ebit E11+","Oct 2018","37","2035","SHA-256","9.06","0.055","-0.4272606724940258","-0.1817120042737213"
80,"Ebang Ebit E11","Oct 2018","30","1950","SHA-256","6.48","0.065","-0.18278241262945208","-0.265332609944323"
81,"ASICminer 8 Nano 44Th","Oct 2018","44","2100","SHA-256","11.69","0.048","-0.6620332497541082","-0.09901237515390865"
82,"GMO miner B2","Oct 2018","24","1950","SHA-256","4.06","0.081","-0.00805649708823584","-0.33416821725546797"
83,"Canaan AvalonMiner 921","Sep 2018","20","1700","SHA-256","3.17","0.085","0.22777822337858045","-0.38965171847467495"
84,"MicroBT Whatsminer M10","Sep 2018","33","2145","SHA-256","7.13","0.065","-0.3633231292080867","-0.22335022123584325"
85,"MicroBT Whatsminer M10S","Sep 2018","55","3500","SHA-256","12.10","0.064","-1.6512093193349917","0.08137597532968902"
86,"Innosilicon T2 Turbo+ 32T","Sep 2018","32","2200","SHA-256","6.57","0.069","-0.36050873746248474","-0.23266420062668158"
87,"Bitmain Antminer S9 Hydro","Aug 2018","18","1728","SHA-256","2.28","0.096","0.27269939321419867","-0.41156777119660204"
88,"Bitfily Snow Panther B1+","Aug 2018","24.5","2100","SHA-256","3.83","0.086","-0.09427420767697124","-0.32263051981876184"
89,"Bitmain Antminer S9j","Aug 2018","14.5","1350","SHA-256","1.96","0.093","0.5551215583281658","-0.46626593086133405"
90,"Innosilicon T2 Turbo","Aug 2018","24","1980","SHA-256","3.97","0.083","-0.022314473521441322","-0.3330794981612735"
91,"Ebang Ebit E9i","Jul 2018","13.5","1420","SHA-256","1.35","0.105","0.5509071447325468","-0.4751331314662373"
92,"Bitfily Snow Panther B1","Jul 2018","16","1380","SHA-256","2.48","0.086","0.49708192029325565","-0.44787072870253575"
93,"Aladdin Miner 16Th/s Bitcoin","Jul 2018","16","1400","SHA-256","2.42","0.088","0.48757660272411235","-0.447144915814521"
94,"Innosilicon T2 Terminator","May 2018","17.2","1570","SHA-256","2.41","0.091","0.3715156359990207","-0.4268961236096454"
95,"Ebang Ebit E9.3","May 2018","16","1760","SHA-256","1.38","0.11","0.3156794268150848","-0.43329962775219144"
96,"Bitmain Antminer S9i","May 2018","13","1280","SHA-256","1.53","0.099","0.6327729256535196","-0.4866982526384176"
97,"ASICminer 8 Nano Pro","May 2018","76","4000","SHA-256","19.12","0.053","-2.501384786544759","0.3414217461894921"
98,"Ebang Ebit E9.2","May 2018","12","1320","SHA-256","1.04","0.11","0.642215394656911","-0.49606867754394857"
99,"Bitmain Antminer S9i","May 2018","14","1320","SHA-256","1.84","0.094","0.5841069983872028","-0.473253587545005"
100,"Canaan AvalonMiner 841","Apr 2018","13.6","1290","SHA-256","1.77","0.095","0.6099866540584519","-0.47890532468655383"
101,"Halong Mining DragonMint T1","Apr 2018","16","1480","SHA-256","2.19","0.093","0.44935496757117244","-0.4440465001240321"
102,"MicroBT Whatsminer M3X","Mar 2018","12.5","2050","SHA-256","-0.86","0.164","0.2789409213823398","-0.4621162545318721"
103,"Bitmain Antminer V9","Mar 2018","4","1027","SHA-256","-1.35","0.257","1.015284407051964","-0.5993088071192798"
104,"Ebang Ebit E10","Feb 2018","18","1650","SHA-256","2.51","0.092","0.30985027789107966","-0.41447650649687945"
105,"Canaan AvalonMiner 821","Feb 2018","11.5","1200","SHA-256","1.18","0.104","0.7141751285739693","-0.5065176565999436"
106,"Ebang Ebit E9+","Jan 2018","9","1300","SHA-256","-0.12","0.144","0.7392840368602944","-0.531407452280271"
107,"Pantech WX6","Jan 2018","34","5000","SHA-256","-0.69","0.147","-1.756174005885935","-0.10159974557659021"
108,"Bitmain Antminer T9+","Jan 2018","10.5","1432","SHA-256","0.11","0.136","0.6324466949118268","-0.5089983432932075"
109,"Bitfily Snow Panther A1","Jan 2018","49","5400","SHA-256","4.20","0.11","-2.3838966076145742","0.08578618106959242"
110,"MicroBT Whatsminer M3","Jan 2018","12","2000","SHA-256","-0.92","0.167","0.31743167932848254","-0.4698297231522468"
111,"Bitfury B8","Dec 2017","49","6400","SHA-256","1.32","0.131","-2.861566868006236","0.12441878490489437"
112,"Bitmain Antminer S9","Nov 2017","14","1372","SHA-256","1.69","0.098","0.5592729538293045","-0.4712493754104122"
113,"Pantech SX6","Sep 2017","8.5","1000","SHA-256","0.55","0.118","0.8969919933785558","-0.5485839126559678"
114,"Bitmain Antminer S9","Sep 2017","13.5","1323","SHA-256","1.63","0.098","0.5972283362592007","-0.4788680046680784"
115,"Bitmain Antminer T9","Aug 2017","12.5","1576","SHA-256","0.50","0.126","0.5054592092731967","-0.4805280398241023"
116,"Bitmain Antminer S9","Jul 2017","13","1300","SHA-256","1.50","0.1","0.6226665140912002","-0.48538694543249156"
117,"Bitmain Antminer T9","Apr 2017","11.5","1450","SHA-256","0.46","0.126","0.5947575648075214","-0.4968595016575029"
118,"Canaan AvalonMiner 741","Apr 2017","7.3","1150","SHA-256","-0.37","0.158","0.8603667859580664","-0.5566342014807623"
119,"Bitmain Antminer R4","Feb 2017","8.7","845","SHA-256","1.07","0.097","0.9653482761971698","-0.552415366595499"
120,"Bitmain Antminer S9","Feb 2017","12.5","1225","SHA-256","1.51","0.098","0.6731391011189931","-0.4941052631834107"
121,"Bitmain Antminer S7-LN","Jun 2016","2.7","697","SHA-256","-0.92","0.258","1.210694064945697","-0.6268951820657537"
122,"Bitmain Antminer S9","Jun 2016","11.5","1127","SHA-256","1.39","0.098","0.7490498659787855","-0.5093425216987432"
123,"Bitmain Antminer S7","Sep 2015","4.73","1293","SHA-256","-1.82","0.273","0.8669328056691173","-0.580625395524242"
124,"Bitmain Antminer S5","Dec 2014","1.155","590","SHA-256","-1.23","0.511","1.3066967440673936","-0.6486565925726713"
125,"Bitmain Antminer S3","Jul 2014","0.478","366","SHA-256","-0.86","1","1.4334511708702984","-0.6651173988840008"
