id,model,release,hashRate,power,algo,profitability,efficiency,X,Y
0,Goldshell CK5,2021-03-01,12.0,2400,Eaglesong,91.71,100.0,1.7609821925106033,0.7428430611823429
1,iBeLink BM-N1,2020-11-01,6.6,2400,Eaglesong,47.33,182.0,0.7166936097776816,0.30062905188521005
2,Todek Toddminer C1 PRO,2020-05-01,3.0,2700,Eaglesong,16.88,450.0,0.1386163660396794,0.14746569625058292
3,Bitmain Antminer K5 (1130Gh),2020-04-01,1.13,1580,Eaglesong,4.74,699.0,-0.7934270857592727,0.01221081325300768
4,Todek Toddminer C1,2020-03-01,1.55,1380,Eaglesong,8.76,445.0,-0.7776728254063204,-0.10455286534931785
5,Bitmain Antminer Z15,2020-06-01,4.2e-07,1510,Equihash,16.69,1797.5,-0.7487828912052786,0.7179023737817025
6,Innosilicon A9++ ZMaster,2019-05-01,1.4e-07,1550,Equihash,2.55,5535.5,-1.4954999649650293,2.581669180799852
7,Bitmain Antminer Z11,2019-04-01,1.35e-07,1418,Equihash,2.68,5252.0,-1.5284783583012018,2.414769425303981
8,Innosilicon A9+ ZMaster,2019-01-01,1.2000000000000002e-07,1550,Equihash,1.55,6458.5,-1.6337512585973497,3.0671391254199616
9,ASICminer Zeon 180K,2018-09-01,1.8000000000000002e-07,2200,Equihash,2.68,6111.0,-1.2126607671390897,2.970692482468026
10,Bitmain Antminer Z9,2018-09-01,4.2000000000000006e-08,970,Equihash,-0.69,11547.5,-2.6437374751369114,5.708661358175633
11,Innosilicon A9 ZMaster,2018-06-01,5.0000000000000004e-08,620,Equihash,0.72,6200.0,-2.123704180160508,2.8073214496456114
12,Bitmain Antminer Z9 Mini,2018-06-01,1e-08,300,Equihash,-0.36,15000.0,-3.441067948561801,7.487050500321723
13,Innosilicon A11 Pro ETH (2000Mh),2021-06-01,0.002,2500,EtHash,192.40,0.625,3.6506128956027695,1.7369580131795752
14,Innosilicon A10 Pro+ ETH (750Mh),2020-12-01,0.00075,1350,EtHash,70.96,0.9000000000000001,0.514907853876796,0.3091881482204488
15,Innosilicon A10 Pro ETH (500Mh),2020-05-01,0.0005,960,EtHash,47.13,0.9600000000000001,-0.18977313553728176,0.009218796359526247
16,Goldshell LT5,2021-03-01,0.0020499999999999997,2080,Scrypt,9.28,0.5075,-0.3630317846493585,-0.25791062756986766
17,Innosilicon A6+ LTCMaster,2019-03-01,0.0022,2100,Scrypt,10.34,0.4775,-0.33023766707899826,-0.24426217691012614
18,FusionSilicon X6 Miner,2018-08-01,0.00086,1079,Scrypt,3.30,0.6275,-1.0310204932557525,-0.4419641253927618
19,Bitmain Antminer L3++ (580Mh),2018-05-01,0.00058,942,Scrypt,1.61,0.8120000000000002,-1.140483420288846,-0.4763176335485858
20,Bitmain Antminer L3++ (596Mh),2018-05-01,0.000596,1050,Scrypt,1.42,0.881,-1.085689861550321,-0.4652832872151292
21,BW L21,2018-01-01,0.0005499999999999999,950,Scrypt,1.36,0.8635,-1.1413080382522076,-0.4779802659463655
22,Innosilicon A6 LTCMaster,2018-01-01,0.00123,1500,Scrypt,4.84,0.61,-0.770240742880438,-0.37488996801733826
23,Innosilicon A4+ LTCMaster,2017-11-01,0.00062,750,Scrypt,2.46,0.605,-1.227293841154786,-0.4905410966726375
24,Bitmain Antminer L3+ (600Mh),2017-10-01,0.0006,850,Scrypt,1.85,0.7585,-1.1855439636610936,-0.4848846285433626
25,Innosilicon A4 Dominator,2017-07-01,0.00028,1050,Scrypt,-0.94,1.875,-1.134606794250087,-0.48980615707820885
26,Bitmain Antminer L3+ (504Mh),2017-06-01,0.000504,800,Scrypt,1.45,0.7935000000000001,-1.2210084591261914,-0.49513811546787884
27,Bitmain Antminer S19j (90Th),2021-06-01,90.0,3250,SHA-256,26.93,18.0,2.5768569411106754,0.331568642435513
28,Bitmain Antminer S19j Pro (100Th),2021-06-01,100.0,3050,SHA-256,31.53,15.5,2.7791794081390147,0.3829294776439186
29,Innosilicon T2 Turbo 29T/30T,2021-01-01,30.0,2400,SHA-256,5.18,40.0,0.3681829059323049,-0.15775796984186993
30,Canaan AvalonMiner 1246,2021-01-01,90.0,3420,SHA-256,26.44,19.0,2.6590453404146377,0.3473894776332822
31,MicroBT Whatsminer M31S+,2020-12-01,80.0,3360,SHA-256,22.58,21.0,2.3306972822080696,0.2722854261625189
32,MicroBT Whatsminer M32S,2020-11-01,66.0,3432,SHA-256,16.73,26.0,1.9463419738173298,0.18238564725792333
33,StrongU Hornbill H8,2020-10-01,74.0,3330,SHA-256,20.25,22.5,2.1366235862334144,0.22795862360108132
34,MicroBT Whatsminer M30S++,2020-10-01,112.0,3472,SHA-256,35.16,15.5,3.3425060750685383,0.5058824658337828
35,MicroBT Whatsminer M30S+,2020-10-01,100.0,3400,SHA-256,30.53,17.0,2.9486443975313565,0.41529511303673633
36,Canaan AvalonMiner 1146 Pro,2020-08-01,63.0,3276,SHA-256,15.97,26.0,1.7810978017682242,0.14712795199181977
37,Canaan AvalonMiner 1166 Pro,2020-08-01,81.0,3400,SHA-256,22.87,21.0,2.3800111098322154,0.282981232445453
38,MicroBT Whatsminer M32,2020-07-01,62.0,3348,SHA-256,15.36,27.0,1.785946528314781,0.1470686346643497
39,Bitmain Antminer T19 (84Th),2020-06-01,84.0,3150,SHA-256,24.80,19.0,2.3489157251171076,0.2806612183225263
40,Bitmain Antminer S19 (95Th),2020-05-01,95.0,3250,SHA-256,28.94,17.0,2.726370901234341,0.36635490559470407
