model,release,hashRate,power,algo,profitability,efficiency
Bitmain Antminer S19j (90Th),Jun 2021, 90, 3250,SHA-256, 26.93,0.036
Bitmain Antminer S19j Pro (100Th),Jun 2021, 100, 3050,SHA-256, 31.53,0.031
Innosilicon T2 Turbo 29T/30T,Jan 2021, 30, 2400,2, 5.18,0.08
Canaan AvalonMiner 1246,Jan 2021, 90, 3420,SHA-256, 26.44,0.038
MicroBT Whatsminer M31S+,Dec 2020, 80, 3360,SHA-256, 22.58,0.042
MicroBT Whatsminer M32S,Nov 2020, 66, 3432,SHA-256, 16.73,0.052
StrongU Hornbill H8,Oct 2020, 74, 3330,SHA-256, 20.25,0.045
MicroBT Whatsminer M30S++,Oct 2020, 112, 3472,SHA-256, 35.16,0.031
MicroBT Whatsminer M30S+,Oct 2020, 100, 3400,SHA-256, 30.53,0.034
Canaan AvalonMiner 1146 Pro,Aug 2020, 63, 3276,SHA-256, 15.97,0.052
Canaan AvalonMiner 1166 Pro,Aug 2020, 81, 3400,SHA-256, 22.87,0.042
MicroBT Whatsminer M32,Jul 2020, 62, 3348,SHA-256, 15.36,0.054
Bitmain Antminer T19 (84Th),Jun 2020, 84, 3150,SHA-256, 24.80,0.038
Bitmain Antminer S19 (95Th),May 2020, 95, 3250,SHA-256, 28.94,0.034
Bitmain Antminer S19 Pro (110Th),May 2020, 110, 3250,SHA-256, 34.99,0.03
MicroBT Whatsminer M31S,Apr 2020, 76, 3220,SHA-256, 21.01,0.044
MicroBT Whatsminer M30S,Apr 2020, 86, 3268,SHA-256, 25.26,0.038
ASICminer 8 Nano S 58Th,Dec 2019, 58, 2500,SHA-256, 16.18,0.043
Bitmain Antminer T17+ (64Th),Dec 2019, 64, 3200,SHA-256, 16.59,0.05
Bitmain Antminer S17+ (73Th),Dec 2019, 73, 2920,SHA-256, 21.02,0.04
Bitmain Antminer T17e (53Th),Nov 2019, 53, 2915,SHA-256, 12.97,0.055
Bitmain Antminer S17e (64Th),Nov 2019, 64, 2880,SHA-256, 17.51,0.045
Ebang Ebit E12+,Sep 2019, 50, 2500,SHA-256, 12.96,0.05
Ebang Ebit E12,Sep 2019, 44, 2500,SHA-256, 10.54,0.057
Canaan AvalonMiner 1047,Sep 2019, 37, 2380,SHA-256, 8.06,0.064
Canaan AvalonMiner 1066,Sep 2019, 50, 3250,SHA-256, 10.80,0.065
Innosilicon T3+ 57T,Sep 2019, 57, 3300,SHA-256, 13.48,0.058
StrongU STU-U8 Pro,Sep 2019, 60, 2800,SHA-256, 16.13,0.047
MicroBT Whatsminer M21,Aug 2019, 31, 1860,SHA-256, 7.14,0.06
MicroBT Whatsminer M20S,Aug 2019, 68, 3360,SHA-256, 17.74,0.049
Bitmain Antminer S9k (13.5Th),Aug 2019, 13.5, 1310,SHA-256, 1.67,0.097
Innosilicon T3 50T,Jul 2019, 50, 3100,SHA-256, 11.23,0.062
