model,release,hashRate (Th/s),power (W),algo,profitability ($/day),efficiency (j/Gh)
Goldshell CK5,Mar 2021,12,2400,Eaglesong,91.71,0.2
iBeLink BM-N1,Nov 2020,6.6,2400,Eaglesong,47.33,0.364
Todek Toddminer C1 PRO,May 2020,3,2700,Eaglesong,16.88,0.9
Bitmain Antminer K5,Apr 2020,1.13,1580,Eaglesong,4.74,1.398
Todek Toddminer C1,Mar 2020,1.55,1380,Eaglesong,8.76,0.89
Bitmain Antminer Z15,Jun 2020,0.00000042,1510,Equihash,16.69,3595000
Innosilicon A9++ ZMaster,May 2019,0.00000014,1550,Equihash,2.55,11071000
Bitmain Antminer Z11,Apr 2019,0.000000135,1418,Equihash,2.68,10504000
Innosilicon A9+ ZMaster,Jan 2019,0.00000012,1550,Equihash,1.55,12917000
ASICminer Zeon 180K,Sep 2018,0.00000018,2200,Equihash,2.68,12222000
Bitmain Antminer Z9,Sep 2018,0.000000042,970,Equihash,-0.69,23095000
Innosilicon A9 ZMaster,Jun 2018,0.00000005,620,Equihash,0.72,12400000
Bitmain Antminer Z9 Mini,Jun 2018,0.00000001,300,Equihash,-0.36,30000000
Innosilicon A11 Pro ETH,Jun 2021,0.002,2500,EtHash,192.40,1250
Innosilicon A10 Pro+ ETH,Dec 2020,0.000750,1350,EtHash,70.96,1800
Innosilicon A10 Pro ETH,May 2020,0.0005,960,EtHash,47.13,1920
Goldshell LT5,Mar 2021,0.00205,2080,Scrypt,9.28,1015
Innosilicon A6+ LTCMaster,Mar 2019,0.0022,2100,Scrypt,10.34,955
FusionSilicon X6 Miner,Aug 2018,0.00086,1079,Scrypt,3.30,1255
Bitmain Antminer L3++,May 2018,0.00058,942,Scrypt,1.61,1624
Bitmain Antminer L3++,May 2018,0.000596,1050,Scrypt,1.42,1762
BW L21,Jan 2018,0.00055,950,Scrypt,1.36,1727
Innosilicon A6 LTCMaster,Jan 2018,0.00123,1500,Scrypt,4.84,1220
Innosilicon A4+ LTCMaster,Nov 2017,0.00062,750,Scrypt,2.46,1210
Bitmain Antminer L3+,Oct 2017,0.0006,850,Scrypt,1.85,1517
Innosilicon A4 Dominator,Jul 2017,0.00028,1050,Scrypt,-0.94,3750
Bitmain Antminer L3+,Jun 2017,0.000504,800,Scrypt,1.45,1587
Bitmain Antminer S19j,Jun 2021,90,3250,SHA-256,26.93,0.036
Bitmain Antminer S19j Pro,Jun 2021,100,3050,SHA-256,31.53,0.031
Innosilicon T2 Turbo 29T/30T,Jan 2021,30,2400,SHA-256,5.18,0.08
Canaan AvalonMiner 1246,Jan 2021,90,3420,SHA-256,26.44,0.038
MicroBT Whatsminer M31S+,Dec 2020,80,3360,SHA-256,22.58,0.042
MicroBT Whatsminer M32S,Nov 2020,66,3432,SHA-256,16.73,0.052
StrongU Hornbill H8,Oct 2020,74,3330,SHA-256,20.25,0.045
MicroBT Whatsminer M30S++,Oct 2020,112,3472,SHA-256,35.16,0.031
MicroBT Whatsminer M30S+,Oct 2020,100,3400,SHA-256,30.53,0.034
Canaan AvalonMiner 1146 Pro,Aug 2020,63,3276,SHA-256,15.97,0.052
Canaan AvalonMiner 1166 Pro,Aug 2020,81,3400,SHA-256,22.87,0.042
MicroBT Whatsminer M32,Jul 2020,62,3348,SHA-256,15.36,0.054
Bitmain Antminer T19,Jun 2020,84,3150,SHA-256,24.80,0.038
Bitmain Antminer S19,May 2020,95,3250,SHA-256,28.94,0.034
Bitmain Antminer S19 Pro,May 2020,110,3250,SHA-256,34.99,0.03
MicroBT Whatsminer M31S,Apr 2020,76,3220,SHA-256,21.01,0.044
MicroBT Whatsminer M30S,Apr 2020,86,3268,SHA-256,25.26,0.038
ASICminer 8 Nano S 58Th,Dec 2019,58,2500,SHA-256,16.18,0.043
Bitmain Antminer T17+,Dec 2019,64,3200,SHA-256,16.59,0.05
Bitmain Antminer S17+,Dec 2019,73,2920,SHA-256,21.02,0.04
Bitmain Antminer T17e,Nov 2019,53,2915,SHA-256,12.97,0.055
Bitmain Antminer S17e,Nov 2019,64,2880,SHA-256,17.51,0.045
Ebang Ebit E12+,Sep 2019,50,2500,SHA-256,12.96,0.05
Ebang Ebit E12,Sep 2019,44,2500,SHA-256,10.54,0.057
Canaan AvalonMiner 1047,Sep 2019,37,2380,SHA-256,8.06,0.064
Canaan AvalonMiner 1066,Sep 2019,50,3250,SHA-256,10.80,0.065
Innosilicon T3+ 57T,Sep 2019,57,3300,SHA-256,13.48,0.058
StrongU STU-U8 Pro,Sep 2019,60,2800,SHA-256,16.13,0.047
MicroBT Whatsminer M21,Aug 2019,31,1860,SHA-256,7.14,0.06
MicroBT Whatsminer M20S,Aug 2019,68,3360,SHA-256,17.74,0.049
Bitmain Antminer S9k,Aug 2019,13.5,1310,SHA-256,1.67,0.097
Innosilicon T3 50T,Jul 2019,50,3100,SHA-256,11.23,0.062
StrongU STU-U8,Jul 2019,46,2100,SHA-256,12.50,0.046
Bitmain Antminer S9 SE,Jul 2019,16,1280,SHA-256,2.76,0.08
MicroBT Whatsminer M21S,Jun 2019,56,3360,SHA-256,12.90,0.06
Bitmain Antminer T17,May 2019,40,2200,SHA-256,9.79,0.055
Innosilicon T3+ 52T,May 2019,52,2800,SHA-256,14.63,0.042
Bitmain Antminer S17,Apr 2019,53,2385,SHA-256,14.50,0.045
Bitmain Antminer S17,Apr 2019,56,2520,SHA-256,15.32,0.045
Bitmain Antminer S17 Pro,Apr 2019,50,1975,SHA-256,14.47,0.04
Bitmain Antminer S17 Pro,Apr 2019,53,2094,SHA-256,15.34,0.04
Innosilicon T3 39T,Mar 2019,39,2150,SHA-256,9.53,0.055
Innosilicon T3 43T,Jan 2019,43,2100,SHA-256,11.29,0.049
Holic H28,Dec 2018,28,2100,SHA-256,5.24,0.075
Holic H22,Dec 2018,22,1700,SHA-256,4.26,0.073
Bitmain Antminer T15,Dec 2018,23,1541,SHA-256,4.84,0.067
Bitmain Antminer S15,Dec 2018,28,1596,SHA-256,6.69,0.057
Bitfury Tardis,Nov 2018,80,6300,SHA-256,14.11,0.079
Bitmain Antminer S11,Nov 2018,20.5,1530,SHA-256,3.86,0.075
GMO miner B3,Nov 2018,33,3417,SHA-256,3.46,0.104
Innosilicon T2 Turbo 25T,Oct 2018,25,2050,SHA-256,4.18,0.082
Ebang Ebit E11++,Oct 2018,44,1980,SHA-256,12.04,0.045
Ebang Ebit E11+,Oct 2018,37,2035,SHA-256,9.06,0.055
Ebang Ebit E11,Oct 2018,30,1950,SHA-256,6.48,0.065
ASICminer 8 Nano 44Th,Oct 2018,44,2100,SHA-256,11.69,0.048
GMO miner B2,Oct 2018,24,1950,SHA-256,4.06,0.081
Canaan AvalonMiner 921,Sep 2018,20,1700,SHA-256,3.17,0.085
MicroBT Whatsminer M10,Sep 2018,33,2145,SHA-256,7.13,0.065
MicroBT Whatsminer M10S,Sep 2018,55,3500,SHA-256,12.10,0.064
Innosilicon T2 Turbo+ 32T,Sep 2018,32,2200,SHA-256,6.57,0.069
Bitmain Antminer S9 Hydro,Aug 2018,18,1728,SHA-256,2.28,0.096
