model,release,hashRate,power,algo,profitability,efficiency
Baikal BK-N240,May 2018, 240kh/s, 650W,CryptoNight, -$0.73/day,2.708j/kh
Baikal BK-N70,May 2018, 70kh/s, 240W,CryptoNight, -$0.30/day,3.143j/kh
Innosilicon A8C CryptoMaster,May 2018, 80kh/s, 175W,CryptoNight, -$0.12/day,2.188j/kh
Bitmain Antminer X3 (220Kh),May 2018, 220kh/s, 465W,CryptoNight, -$0.29/day,2.114j/kh
Innosilicon A8+ CryptoMaster,Apr 2018, 240kh/s, 480W,CryptoNight, -$0.24/day,2j/kh
PinIdea RR-210,Apr 2018, 30kh/s, 350W,CryptoNight, -$0.87/day,11.667j/kh
Innosilicon A8 CryptoMaster,Apr 2018, 160kh/s, 350W,CryptoNight, -$0.25/day,2.188j/kh
PinIdea RR-200,Apr 2018, 27kh/s, 350W,CryptoNight, -$0.88/day,12.963j/kh
Baikal BK-N+,Mar 2018, 40kh/s, 120W,CryptoNight, -$0.16/day,3j/kh
Baikal BK-N,Mar 2018, 20kh/s, 60W,CryptoNight, -$0.08/day,3j/kh
