,country,value,rank
0,China,5951.0,1
1,China,6625.888268308368,1
2,China,5705.033623964643,1
3,China,5858.509398021931,1
4,China,6165.460946136505,1
5,China,5398.082075850068,1
6,China,6318.936720193793,1
7,China,5244.606301792781,1
8,China,5551.557849907355,1
9,United States,3989.566399731,1
10,China,6472.41249425108,1
11,China,6453.0,1
12,China,6011.985172079218,1
13,United States,4621.686791849037,2
14,United States,4512.491739301586,2
15,United States,4033.0,2
16,United States,4403.296686754135,2
17,United States,4676.284318122762,2
18,United States,4785.479370670213,2
19,United States,4567.089265575311,2
20,United States,4730.881844396487,2
21,United States,4457.89421302786,2
22,Russia,965.1560464,2
23,United States,4840.076896943939,2
24,United States,3888.0,2
25,United States,4894.674423217664,2
26,Russia,1166.4039585134954,3
27,Russia,1253.7102882645077,3
28,Japan,902.842634,3
29,Russia,1282.8123981815115,3
30,Russia,1399.220837849528,3
31,Russia,1370.1187279325238,3
32,India,1277.0,3
33,Russia,1341.0166180155195,3
34,India,1226.0,3
35,Russia,1428.3229477665318,3
36,Russia,1224.6081783475036,3
37,Russia,1311.9145080985156,3
38,Russia,1195.5060684304997,3
39,India,1266.8551783797573,4
40,India,1238.6117123469637,4
41,Japan,1163.2989740229418,4
42,India,1323.3421104453444,4
43,Japan,1124.8532560360998,4
44,Brazil,597.2345504,4
45,India,1210.3682463141702,4
46,India,1182.1247802813766,4
47,Japan,949.0,4
48,Japan,940.0,4
49,India,1295.0986444125508,4
50,Japan,1150.4837346939944,4
51,Japan,1137.6684953650472,4
52,India,1097.3943821829962,5
53,Russia,919.0,5
54,Canada,549.26386279,5
55,India,1153.881314248583,5
56,India,1125.6378482157895,5
57,Japan,1227.3751706676787,5
58,Japan,1201.744692009784,5
59,Japan,1240.190409996626,5
60,India,1069.1509161502026,5
61,Japan,1188.929452680837,5
62,Japan,1176.1142133518892,5
63,Russia,929.0,5
64,Japan,1214.5599313387313,5
65,Germany,893.9926751821864,6
66,Germany,790.2963295303645,6
67,Germany,755.7308809797572,6
68,Germany,807.5790538056682,6
69,Canada,559.0,6
70,Germany,842.1445023562754,6
71,South Korea,527.035648,6
72,Germany,738.4481567044536,6
73,Canada,553.0,6
74,Germany,859.4272266315791,6
75,Germany,876.7099509068827,6
76,Germany,773.0136052550608,6
77,Germany,824.8617780809718,6
78,South Korea,691.5900993838056,7
79,Canada,614.4364804816856,7
80,South Korea,676.574451508502,7
81,Canada,634.0746052314781,7
82,South Korea,535.0,7
83,Canada,627.528563648214,7
84,South Korea,706.6057472591093,7
85,Canada,647.1666883980065,7
86,Canada,640.6206468147423,7
87,Canada,620.9825220649498,7
88,Germany,539.0,7
89,South Korea,661.5588036331983,7
90,Germany,524.268434,7
91,South Korea,571.4649163813765,8
92,Canada,666.804813147799,8
93,Brazil,517.0,8
94,Canada,660.2587715645348,8
95,Germany,533.0,8
96,South Korea,616.5118600072874,8
97,South Korea,601.4962121319838,8
98,France,449.422585,8
99,South Korea,631.5275078825911,8
100,South Korea,646.5431557578947,8
101,Canada,653.7127299812706,8
102,Canada,673.3508547310631,8
103,South Korea,586.4805642566802,8
104,Brazil,620.2897713811066,9
