,"name","value","year","lastValue","rank"
0,"China","5565.0",2016,"0.0",1
1,"China","5951.0",2017,"5565.0",1
2,"China","8774.549105110393",2043,"8621.073331053105",1
3,"China","8621.073331053105",2042,"8467.597556995817",1
4,"China","8467.597556995817",2041,"8314.121782938531",1
5,"China","8314.121782938531",2040,"8160.646008881243",1
6,"China","8160.646008881243",2039,"8007.170234823955",1
7,"China","8007.170234823955",2038,"7853.694460766667",1
8,"China","6453.0",2018,"5951.0",1
9,"China","7853.694460766667",2037,"7700.21868670938",1
10,"China","7700.21868670938",2036,"7546.742912652092",1
11,"China","7546.742912652092",2035,"7393.267138594804",1
12,"China","7393.267138594804",2034,"7239.791364537517",1
13,"China","8928.02487916768",2044,"8774.549105110393",1
14,"China","7239.791364537517",2033,"7086.31559048023",1
15,"China","7086.31559048023",2032,"6932.839816422943",1
16,"China","6932.839816422943",2031,"6779.364042365655",1
17,"China","6779.364042365655",2030,"6625.888268308368",1
18,"China","6625.888268308368",2029,"6472.41249425108",1
19,"China","6472.41249425108",2028,"6318.936720193793",1
20,"China","6318.936720193793",2027,"6165.460946136505",1
21,"China","5244.606301792781",2020,"5244.606301792781",1
22,"China","6165.460946136505",2026,"6011.985172079218",1
23,"China","6011.985172079218",2025,"5858.509398021931",1
24,"China","5858.509398021931",2024,"5705.033623964643",1
25,"China","5705.033623964643",2023,"5551.557849907355",1
26,"China","5551.557849907355",2022,"5398.082075850068",1
27,"China","5244.606301792781",2019,"6453.0",1
28,"China","9081.500653224968",2045,"8928.02487916768",1
29,"China","5398.082075850068",2021,"5244.606301792781",1
30,"China","9695.403749454115",2049,"9541.92797539683",1
31,"China","9388.452201339544",2047,"9234.976427282256",1
32,"China","9541.92797539683",2048,"9388.452201339544",1
33,"China","9234.976427282256",2046,"9081.500653224968",1
34,"United States","5113.064528312567",2033,"5058.46700203884",2
35,"United States","4840.076896943939",2028,"4785.479370670213",2
36,"United States","5549.84473850237",2041,"5495.247212228645",2
37,"United States","4894.674423217664",2029,"4840.076896943939",2
38,"United States","4949.27194949139",2030,"4894.674423217664",2
39,"United States","5003.869475765116",2031,"4949.27194949139",2
40,"United States","5495.247212228645",2040,"5440.649685954919",2
41,"United States","5058.46700203884",2032,"5003.869475765116",2
42,"United States","4403.296686754135",2019,"4033.0",2
43,"United States","5932.027422418449",2048,"5877.429896144724",2
44,"United States","4785.479370670213",2027,"4730.881844396487",2
45,"United States","5167.662054586292",2034,"5113.064528312567",2
46,"United States","5386.052159681194",2038,"5331.4546334074685",2
47,"United States","5877.429896144724",2047,"5822.832369870998",2
48,"United States","4033.0",2018,"3888.0",2
49,"United States","5222.259580860017",2035,"5167.662054586292",2
50,"United States","4457.89421302786",2021,"4403.296686754135",2
51,"United States","5276.857107133743",2036,"5222.259580860017",2
52,"United States","5440.649685954919",2039,"5386.052159681194",2
53,"United States","5604.442264776096",2042,"5549.84473850237",2
54,"United States","5331.4546334074685",2037,"5276.857107133743",2
55,"United States","4621.686791849037",2024,"4567.089265575311",2
56,"United States","5986.624948692175",2049,"5932.027422418449",2
57,"United States","4403.296686754135",2020,"4403.296686754135",2
58,"United States","5768.234843597273",2045,"5713.637317323547",2
59,"United States","4567.089265575311",2023,"4512.491739301586",2
60,"United States","5822.832369870998",2046,"5768.234843597273",2
61,"United States","5659.039791049821",2043,"5604.442264776096",2
62,"United States","5713.637317323547",2044,"5659.039791049821",2
63,"United States","3921.0",2016,"0.0",2
64,"United States","3888.0",2017,"3921.0",2
65,"United States","4730.881844396487",2026,"4676.284318122762",2
66,"United States","4512.491739301586",2022,"4457.89421302786",2
67,"United States","4676.284318122762",2025,"4621.686791849037",2
68,"Russia","1573.833497351552",2034,"1544.731387434548",3
69,"Russia","1224.6081783475036",2022,"1195.5060684304997",3
70,"Russia","1602.9356072685562",2035,"1573.833497351552",3
71,"Russia","1195.5060684304997",2021,"1166.4039585134954",3
72,"Russia","1632.0377171855605",2036,"1602.9356072685562",3
73,"India","1168.0",2016,"0.0",3
74,"Russia","1544.731387434548",2033,"1515.629277517544",3
75,"Russia","2010.3651461066129",2049,"1981.2630361896088",3
76,"Russia","1515.629277517544",2032,"1486.52716760054",3
77,"Russia","1282.8123981815115",2024,"1253.7102882645077",3
78,"Russia","1166.4039585134954",2019,"929.0",3
