,name,value,year,lastValue,rank
0,ZEC,83259202.30819553,2016,0.0,1
1,ZEC,345261269.484068,2017,83259202.30819553,1
2,ZEC,33333925730.624588,2043,32086791225.95071,1
3,ZEC,32086791225.95071,2042,30839656721.27683,1
4,ZEC,30839656721.27683,2041,29671884535.9477,1
5,ZEC,29671884535.9477,2040,28341970905.06696,1
6,ZEC,28341970905.06696,2039,27094836400.39308,1
7,ZEC,27094836400.39308,2038,25847701895.7192,1
8,ZEC,1987489846.4505088,2018,345261269.484068,1
9,ZEC,25847701895.7192,2037,24666253121.826897,1
10,ZEC,24666253121.826897,2036,23350016079.509315,1
11,ZEC,23350016079.509315,2035,22102881574.835438,1
12,ZEC,22102881574.835438,2034,20855747070.16156,1
13,ZEC,34677515950.06851,2044,33333925730.624588,1
14,ZEC,20855747070.16156,2033,19660621707.70609,1
15,ZEC,19660621707.70609,2032,18358061253.95168,1
16,ZEC,18358061253.95168,2031,17110926749.277802,1
17,ZEC,17110926749.277802,2030,15863792244.60392,1
18,ZEC,15863792244.60392,2029,14654990293.58528,1
19,ZEC,14654990293.58528,2028,13366106428.39404,1
20,ZEC,13366106428.39404,2027,12118971923.72016,1
21,ZEC,4643727465.343662,2020,3627272550.79475,1
22,ZEC,12118971923.72016,2026,10871837419.046282,1
23,ZEC,10871837419.046282,2025,9649358879.46447,1
24,ZEC,9649358879.46447,2024,8374151602.836405,1
25,ZEC,8374151602.836405,2023,7127017098.162525,1
26,ZEC,7127017098.162525,2022,5879882593.488647,1
27,ZEC,3627272550.79475,2019,1987489846.4505088,1
28,ZEC,34677515950.06851,2045,34677515950.06851,1
29,ZEC,5879882593.488647,2021,4643727465.343662,1
30,ZEC,40823566372.392105,2049,38325880556.18223,1
31,ZEC,38325880556.18223,2047,37078746051.50835,1
32,ZEC,38325880556.18223,2048,38325880556.18223,1
33,ZEC,37078746051.50835,2046,34677515950.06851,1
34,XMR,11602640929.158031,2033,10937758947.263472,2
35,XMR,8152984864.303355,2028,7435942380.191399,2
36,XMR,17156971750.362633,2041,16507307113.1837,2
37,XMR,8825475518.555727,2029,8152984864.303355,2
38,XMR,9519291654.674717,2030,8825475518.555727,2
39,XMR,10213107790.7937,2031,9519291654.674717,2
40,XMR,16507307113.1837,2040,15767438611.998304,2
41,XMR,10937758947.263472,2032,10213107790.7937,2
42,XMR,2017954131.1792767,2019,1105696715.6887393,2
43,XMR,21321769433.202908,2048,21321769433.202908,2
44,XMR,7435942380.191399,2027,6742126244.0724125,2
45,XMR,12296457065.277016,2034,11602640929.158031,2
46,XMR,15073622475.879318,2038,14379806339.76033,2
47,XMR,21321769433.202908,2047,20627953297.08392,2
48,XMR,1105696715.6887393,2018,192078592.2025413,2
49,XMR,12990273201.396004,2035,12296457065.277016,2
50,XMR,3271144697.351125,2021,2583436698.383122,2
51,XMR,13722533030.223589,2036,12990273201.396004,2
