"World",21877,22486,23398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"country",2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
"Afghanistan","5.5","5.8",6,"4.042422562624832","4.042422562624832","4.150821133616735","4.259219704608638","4.367618275600541","4.476016846592444","4.584415417584347","4.692813988576249","4.801212559568152","4.909611130560055","5.018009701551958","5.126408272543861","5.234806843535764","5.343205414527667","5.4516039855195695","5.560002556511472","5.668401127503375","5.776799698495278","5.885198269487181","5.993596840479084","6.101995411470987","6.2103939824628895","6.318792553454792","6.427191124446695","6.535589695438598","6.643988266430501","6.752386837422404","6.860785408414307","6.96918397940621","7.0775825503981125","7.185981121390015"
"Albania","5.7",5,"4.8","4.922643425101215","4.922643425101215","4.992642599190283","5.062641773279353","5.132640947368421","5.20264012145749","5.2726392955465595","5.342638469635627","5.412637643724697","5.482636817813765","5.552635991902834","5.622635165991904","5.692634340080971","5.762633514170041","5.8326326882591095","5.902631862348178","5.972631036437248","6.042630210526315","6.112629384615385","6.1826285587044545","6.252627732793522","6.322626906882592","6.3926260809716595","6.462625255060729","6.532624429149799","6.602623603238866","6.672622777327936","6.742621951417004","6.812621125506073","6.882620299595143","6.95261947368421"
"Algeria",56,60,62,"51.133249425776","51.133249425776","52.42786190148449","53.722474377192995","55.0170868529015","56.311699328610004","57.60631180431851","58.90092428002701","60.1955367557355","61.49014923144401","62.78476170715251","64.07937418286102","65.37398665856952","66.66859913427803","67.96321160998653","69.25782408569503","70.55243656140352","71.84704903711203","73.14166151282053","74.43627398852904","75.73088646423754","77.02549893994605","78.32011141565454","79.61472389136304","80.90933636707155","82.20394884278005","83.49856131848856","84.79317379419706","86.08778626990556","87.38239874561405","88.67701122132256"
"American Samoa","0.2","0.2","0.2","0.18619528744939268","0.18619528744939268","0.18915923886639674","0.19212319028340077","0.1950871417004048","0.19805109311740887","0.20101504453441293","0.20397899595141694","0.206942947368421","0.20990689878542507","0.21287085020242913","0.21583480161943314","0.2187987530364372","0.22176270445344126","0.22472665587044532","0.22769060728744933","0.2306545587044534","0.23361851012145746","0.23658246153846152","0.23954641295546553","0.2425103643724696","0.24547431578947365","0.24843826720647771","0.2514022186234817","0.2543661700404858","0.25733012145748985","0.26029407287449385","0.2632580242914979","0.266221975708502","0.26918592712550604","0.27214987854251005"
"Angola",9,"9.5",10,"7.210850947435899","7.210850947435899","7.421054458974361","7.631257970512824","7.841461482051285","8.051664993589746","8.261868505128207","8.472072016666669","8.68227552820513","8.892479039743593","9.102682551282054","9.312886062820516","9.523089574358977","9.733293085897438","9.9434965974359","10.15370010897436","10.363903620512824","10.574107132051285","10.784310643589746","10.994514155128208","11.204717666666669","11.41492117820513","11.625124689743593","11.835328201282055","12.045531712820516","12.255735224358977","12.465938735897439","12.6761422474359","12.886345758974361","13.096549270512824","13.306752782051285"
"Antigua and Barbuda","0.3","0.3","0.3","0.3300857447186236","0.3300857447186236","0.3381512218663969","0.3462166990141702","0.35428217616194346","0.36234765330971674","0.37041313045749","0.3784786076052633","0.3865440847530366","0.39460956190080987","0.40267503904858315","0.41074051619635643","0.4188059933441297","0.426871470491903","0.4349369476396763","0.44300242478744956","0.45106790193522284","0.4591333790829961","0.4671988562307694","0.4752643333785427","0.48332981052631596","0.49139528767408924","0.4994607648218625","0.5075262419696358","0.5155917191174091","0.5236571962651824","0.5317226734129556","0.5397881505607289","0.5478536277085022","0.5559191048562755","0.5639845820040488"
"Argentina",128,125,125,"133.7954584608637","133.7954584608637","136.64320808232122","139.4909577037787","142.3387073252362","145.18645694669368","148.03420656815118","150.88195618960864","153.72970581106614","156.57745543252364","159.42520505398113","162.27295467543863","165.1207042968961","167.9684539183536","170.81620353981108","173.66395316126858","176.51170278272608","179.35945240418357","182.20720202564104","185.05495164709853","187.90270126855603","190.75045089001352","193.59820051147102","196.4459501329285","199.29369975438598","202.14144937584348","204.98919899730097","207.83694861875847","210.68469824021594","213.53244786167343","216.38019748313093"
"Armenia","5.3","5.6","5.4","6.571164147773281","6.571164147773281","6.738320663967613","6.905477180161945","7.072633696356277","7.239790212550609","7.406946728744941","7.574103244939273","7.741259761133605","7.9084162773279365","8.075572793522268","8.2427293097166","8.409885825910932","8.577042342105264","8.744198858299596","8.911355374493928","9.07851189068826","9.245668406882592","9.412824923076924","9.579981439271256","9.747137955465588","9.91429447165992","10.081450987854252","10.248607504048584","10.415764020242916","10.582920536437248","10.75007705263158","10.917233568825912","11.084390085020244","11.251546601214576","11.418703117408908"
"Aruba","0.8","0.9","0.9","1.0823327127783404","1.0823327127783404","1.1080096758886642","1.1336866389989881","1.159363602109312","1.1850405652196359","1.2107175283299598","1.2363944914402836","1.2620714545506075","1.2877484176609315","1.3134253807712553","1.3391023438815792","1.3647793069919032","1.390456270102227","1.416133233212551","1.4418101963228749","1.4674871594331986","1.4931641225435226","1.5188410856538466","1.5445180487641703","1.5701950118744943","1.595871974984818","1.621548938095142","1.647225901205466","1.6729028643157897","1.6985798274261137","1.7242567905364377","1.7499337536467614","1.7756107167570854","1.8012876798674093","1.826964642977733"
"Australia",227,231,234,"260.3924895708502","260.3924895708502","264.743068048583","269.0936465263158","273.4442250040486","277.7948034817814","282.14538195951417","286.495960437247","290.84653891497976","295.1971173927126","299.54769587044535","303.8982743481781","308.24885282591094","312.5994313036437","316.95000978137654","321.3005882591093","325.65116673684213","330.0017452145749","334.3523236923077","338.7029021700405","343.0534806477733","347.4040591255061","351.7546376032389","356.1052160809717","360.4557945587045","364.80637303643726","369.15695151417003","373.50752999190286","377.8581084696356","382.20868694736845","386.5592654251012"
