,country,value,year,rank
0,China,5951.0,2017,1
1,BTC,68135.68887397913,2024,1
2,BTC,94925.0487841902,2027,1
3,BTC,36386.98685573421,2020,1
4,BTC,58949.4768124319,2023,1
5,BTC,85937.31177550313,2026,1
6,BTC,40974.00279505782,2021,1
7,BTC,11056.967156887393,2018,1
8,BTC,112925.14673857436,2029,1
9,BTC,20179.541311792767,2019,1
10,BTC,104209.82405661892,2028,1
11,BTC,49961.73980374487,2022,1
12,BTC,76949.5747668161,2025,1
13,China,5398.082075850068,2021,2
14,China,5858.509398021931,2024,2
15,China,6472.41249425108,2028,2
16,China,5705.033623964643,2023,2
17,China,5551.557849907355,2022,2
18,China,6011.985172079218,2025,2
19,United States,3989.566399731,2019,2
20,China,6453.0,2018,2
21,China,6165.460946136505,2026,2
22,United States,3888.0,2017,2
23,China,6318.936720193793,2027,2
24,China,5244.606301792781,2020,2
25,China,6625.888268308368,2029,2
26,United States,4033.0,2018,3
27,United States,4840.076896943939,2028,3
28,United States,4894.674423217664,2029,3
29,United States,4512.491739301586,2022,3
30,United States,4730.881844396487,2026,3
31,Russia,965.1560464,2019,3
32,United States,4403.296686754135,2020,3
33,United States,4567.089265575311,2023,3
34,United States,4785.479370670213,2027,3
35,United States,4621.686791849037,2024,3
36,United States,4676.284318122762,2025,3
37,BTC,1920.785922025413,2017,3
38,United States,4457.89421302786,2021,3
39,Japan,902.842634,2019,4
40,Russia,1370.1187279325238,2027,4
41,Russia,1399.220837849528,2028,4
42,Russia,1224.6081783475036,2022,4
43,Russia,1311.9145080985156,2025,4
44,Russia,1428.3229477665318,2029,4
45,India,1226.0,2017,4
46,India,1277.0,2018,4
47,Russia,1195.5060684304997,2021,4
48,Russia,1282.8123981815115,2024,4
49,Russia,1166.4039585134954,2020,4
50,Russia,1253.7102882645077,2023,4
51,Russia,1341.0166180155195,2026,4
52,Japan,949.0,2017,5
53,India,1210.3682463141702,2025,5
54,India,1295.0986444125508,2028,5
