Timestamp;TH/s
1/1/2016;709977.3862
2/1/2016;681636.254
3/1/2016;684710.7261
4/1/2016;712938.0756
5/1/2016;718376.9152
6/1/2016;712475.2927
7/1/2016;719114.6181
8/1/2016;747147.3253
9/1/2016;754524.3535
10/1/2016;750835.8394
11/1/2016;755999.7592
12/1/2016;785507.872
13/1/2016;802440.8856
14/1/2016;779600.4933
15/1/2016;761318.5097
16/1/2016;747801.5044
17/1/2016;734284.499
18/1/2016;745320.6226
19/1/2016;742100.6953
20/1/2016;753370.4409
21/1/2016;762225.241
22/1/2016;783154.7686
23/1/2016;815354.0418
24/1/2016;808109.2053
25/1/2016;827428.7692
26/1/2016;849697.1243
27/1/2016;873101.1332
28/1/2016;866436.2284
29/1/2016;867254.66
30/1/2016;884504.7452
31/1/2016;897824.7831
1/2/2016;908053.737
2/2/2016;916577.8651
3/2/2016;938740.5984
4/2/2016;951526.7907
5/2/2016;954084.0291
6/2/2016;964312.983
7/2/2016;1000554.081
8/2/2016;1025531.931
9/2/2016;1050173.159
10/2/2016;1065437.845
11/2/2016;1108503.674
12/2/2016;1108419.502
13/2/2016;1078739.793
14/2/2016;1098185.12
15/2/2016;1076692.917
16/2/2016;1056224.153
17/2/2016;1003005.366
18/2/2016;1024497.568
19/2/2016;1029294.776
20/2/2016;1028518.734
21/2/2016;1023339.735
22/2/2016;1021781.421
23/2/2016;1035239.203
24/2/2016;993827.0895
25/2/2016;1000793.273
26/2/2016;991505.0283
27/2/2016;997310.1813
28/2/2016;1019369.763
29/2/2016;1019369.763
1/3/2016;1025174.916
2/3/2016;1039107.283
3/3/2016;1019369.763
4/3/2016;1043751.406
5/3/2016;1055361.712
6/3/2016;1055006.694
7/3/2016;1080779.941
8/3/2016;1049256.922
9/3/2016;1080475.671
10/3/2016;1085134.576
11/3/2016;1083916.398
12/3/2016;1090666.792
13/3/2016;1063665.218
14/3/2016;1082791.333
15/3/2016;1068165.48
16/3/2016;1078291.071
17/3/2016;1046789.235
18/3/2016;1045842.032
19/3/2016;1057119.936
20/3/2016;1064700.854
21/3/2016;1041774.948
22/3/2016;1025629.079
23/3/2016;1051211.046
24/3/2016;1066489.56
25/3/2016;1078242.264
26/3/2016;1073541.182
27/3/2016;1105273.481
28/3/2016;1097046.589
29/3/2016;1119376.725
30/3/2016;1128778.888
31/3/2016;1105273.481
1/4/2016;1094838.746
2/4/2016;1092755.965
3/4/2016;1100046.487
4/4/2016;1094572.578
5/4/2016;1084253.285
6/4/2016;1121002.526
7/4/2016;1131666.541
8/4/2016;1121002.526
9/4/2016;1138775.884
10/4/2016;1150624.789
11/4/2016;1152994.57
12/4/2016;1149439.899
13/4/2016;1162473.694
14/4/2016;1204769.02
15/4/2016;1196804.081
16/4/2016;1172082.7
17/4/2016;1187302.583
18/4/2016;1178497.769
19/4/2016;1182801.674
20/4/2016;1182801.674
21/4/2016;1190414.942
22/4/2016;1190414.942
23/4/2016;1178995.039
24/4/2016;1175188.405
25/4/2016;1146004.208
26/4/2016;1128239.914
27/4/2016;1100324.596
28/4/2016;1091424.051
