gpu,vram,hashRate,TDP,app,OS,date,
NVIDIA GEFORCE RTX 3090,24 GB DDR6,2053,350 W,XMRIG 6.7.0,WINDOWS 10 x64,"Jan, 2021",
"TITAN RTX (+153 MHZ CORE CLOCK, STOCK MEMORY CLOCKS)",24GB GDDR6,1748,185 W,XMR-STAK-RX,WINDOWS 10 x64,"Nov, 2019",
RADEON VII,16 GB HBM2 MEMORY,1743,133 W,XMRIG 6.3.0,WINDOWS 10 x64,"Jul, 2020",
RADEON VII,16 GB HBM MEMORY,1710,280 W,XMR-STAK-RX,WINDOWS 10 x64,"Nov, 2019",
MSI GEFORCE RTX 2080 TI SEA HAWK X,11 GB DDR6,1580,230 W,XMRIG V6.5.0 CUDA,WINDOWS 10 x64,"Dec, 2020",
RADEON VII,16 GB HBM2 MEMORY,1554,162 W,XMRIG 5.9,WINDOWS 10 x86,"Apr, 2020",
ASUS STRIX RTX 2080TI,11 GB DDR6,1450,300 W,NANOPOOL,WINDOWS 10 x64,"Jul, 2020",
ASUS STRIX RTX 2080TI,11 GB DDR6,1450,150 W,XMRIG 5.0,WINDOWS 10 x64,"Nov, 2019",
GIGABYTE AORUS 2080 TI GAMING BOX EGPU,11 GB DDR6,1327,212 W,XMRIG 6.2.2,WINDOWS 10 x64,"Jul, 2020",
AMD Vega 64 (1700/1100 MHz),8 GB HBM2 MEMORY,1188,N/A,RandomX OpenCL 1.0.4 for AMD GPUs -SOURCE: Github,Windows 10 x64,"Jul, 2019",
1070TI,8 GB DDR5,1185,137 W,XMRIG 5.10.0,WINDOWS 10 x64,"Apr, 2020",
1080TI KINGPIN GPU 2012MHZ / RAM 11.6GHZ,11 GB DDR5,1120,260 W,RandomX Benchmark Windows x64.,WINDOWS 10 x64,"Nov, 2019",
AMD RX 5700,8 GB DDR6,1100,92 W,XMRIG 5.5.1,WINDOWS 10 x64,"Jan, 2020",
VEGA 56 STRIX,8 GB HBM2 MEMORY,1080,170 W,XMRIG 5.1.1,WINDOWS 10 x64,"Dec, 2019",
ASUS STRIX VEGA 64,8 GB HBM2 MEMORY,1052,240 W,RandomX Benchmark OpenCL 1.0.4.,OTHER LINUX OS x64,"Jul, 2019",
1660 SUPER,6 GB DDR6,1000,120 W,NICEHASH MINER,WINDOWS 10 x64,"May, 2020",
GTX 1080 TI,11 GB DDR5,1000,200 W,XMRIG 5.0.1,WINDOWS 10 x64,"Nov, 2019",
VEGA FE,16 GB HBM2 MEMORY,1000,300 W,RandomX Benchmark Windows x64.,WINDOWS 10 x64,"Oct, 2019",
AMD VEGA FE (STOCK),16 GB HBM2 MEMORY,980,N/A,RandomX OpenCL 1.0.4 for AMD GPUs -SOURCE: Github,WINDOWS 10 x64,"Jul, 2019",
ASUS 5700 XT (750MV/1100MHZ/1800MHZ) INTENSITY 784,8 GB DDR6,980,65 W,XMRIG 5.9.0,WINDOWS 10 x64,"Mar, 2020",
GT 755M,2 GB DDR5,586,50 W,NANOMINER,WINDOWS 10 x64,"Nov, 2019", 
EVGA GTX 1070 TI SC GAMING ACX 3.0 BLACK EDITION,8 GB DDR5,573,105 W,RandomX Benchmark Windows x64.,WINDOWS 10 x64,"Nov, 2019", 
AMD RX 570 (1284 / 2100),8 GB DDR5,496,90 W,RandomX Benchmark Linux x64.,UBUNTU 16.04 x64,"Nov, 2019", 
EVGA GTX 1070 TI SC GAMING ACX 3.0 BLACK EDITION,8 GB DDR5,476,65 W,XMRIG 5.0,WINDOWS 10 x64,"Nov, 2019", 
PNY 1070 XLR8 8GB,8 GB DDR5,475,99 W,XMRIG 5.1.0,WINDOWS 10 x64,"Dec, 2019", 
NVIDIA TESLA P4,8 GB DDR5,448,75 W,XMR-STAK-RX-WIN64,WINDOWS 10 x64,"Jan, 2020", 
NVIDIA GEFORCE 150 MX150,2 GB DDR5,400,50 W,RandomX Benchmark OpenCL 1.0.4.,WINDOWS 10 x64,"Aug, 2019", 
GTX 980,4 GB DDR5,300,100 W,XMRig,WINDOWS 10 x64,"Dec, 2019", 
RADEON RX VEGA M GH,4 GB HBM2 MEMORY,248,50 W,XMRIG 6.2.2,WINDOWS 10 x64,"Jul, 2020", 
RX 560 (1287/2000),2 GB DDR5,230,60 W,XMRIG-5.0.1,WINDOWS 10 x64,"Dec, 2019", 
GTX 1050M MOBILE,4 GB DDR5,132,65 W,XMRIG CUDA 6.4.1,WINDOWS 10 x64,"Nov, 2020",
