id,Consensus algorithm,Currency,Genesis date,Block reward,Total supply,Block time,Type consensus
1,Nakamoto,Bitcoin/Bitcoin Cash,03/01/2009,12.5,"21,00",10m,CPU-Bound PoW
2,Nakamoto,Syscoin,16/08/2014,80.04659537,888,1m,CPU-Bound PoW
3,Nakamoto,Peercoin,19/08/2012,55.17265345,2000,10m,CPU-Bound PoW
4,Nakamoto,Counterparty,01/02/2014,All currency in circulation,2.6m,-,CPU-Bound PoW
5,Nakamoto,Emercoin,11/12/2013,Smooth emission,41,10m,CPU-Bound PoW
6,Nakamoto,Namecoin,19/04/2011,12.50000000,21,10m,CPU-Bound PoW
7,Nakamoto,Steem Dollars,04/06/2016,Smooth emission,unlimited,3s,CPU-Bound PoW
8,Nakamoto,Crown,08/09/2014,1.8,42,1m,CPU-Bound PoW
9,Nakamoto,XP,24/08/2016,,2220,NA,CPU-Bound PoW
10,Nakamoto,Omni (Mastercoin),31/07/2013,16.71249999 Omni,0.6,20s,CPU-Bound PoW
11,Cryptonight,Monero,18/04/2014,4.86930501,Starting at M = 264 − 1 infinite supply,2.0m,PoW
12,Cryptonight,Bytecoin,04/07/2012,666.76,184.46 billion,2.0m,PoW
13,Cryptonight,Aeon,06/06/2014,5.48,Starting at M = 264 − 1 infinite supply,4.0m,PoW
14,Cryptonight,Boolberry,17/05/2014,4.85,18.5 Million,2.0,PoW
15,Cryptonight,Karbowanec,30/05/2016,8.83,"Starting with 10 Million, infinite supple",4.0m,PoW
16,Cryptonight,Fantomcoin,06/05/2014,"smooth emission, 50% coins will be emitted in 6 years and block reward  decreases with a similar Starting at M = 264 − 1",Infinite supply,1.0m,PoW
17,Cryptonight,Dashboin for of Bytecoin,05/07/2014,1.55,-,2.0m,PoW
18,Cryptonight,QuazarCoin,08/05/2014,smooth emission,-,2.0,PoW
19,Cryptonight,BipCoin,20/08/2016,smooth emission,-,2.0,PoW
20,Cryptonight,Cannabis industry coin,16/10/2016,70.00000000,21 M,2.0,PoW
21,Scrypt,Litecoin [80],13/10/2011,25.00,84 million,2.5m,PoW
22,Scrypt,Verge [82],15/02/2016,730.00,16.5 billion,0.5m,PoW
23,Scrypt,Bitmark [83],13/07/2014,-,27.58 million,2.0m,PoW
24,Scrypt,Dogecoin [84],06/12/2013,10000.00,Total supply,NA,PoW
25,Scrypt,GameCredits [85],01/06/2015,fixed (12.5 coins),84 million,1.5m,PoW
26,Scrypt,Einsteinium [86],01/03/2014,2,2.9 billion,1.0m,PoW
27,Scrypt,Voxels [87],03/11/2015,smooth emission,2.1 billion,2.5m,PoW
28,Scrypt,Viacoin [88],18/07/2014,0.63,23 million,0.5m,PoW
29,Scrypt,Hempcoin [89],09/03/2014,smooth emission,2.5 billion,1.0m,PoW
30,Equihash,Zcash [90],28/10/2016,10,21 million,2.5m,Memory PoW
31,Equihash,Bitcoin Gold [91],24/10/2017,12.5,21 million,10m,Memory PoW
32,Equihash,Komodo [92],15/10/2016,3,200 million,1m,Memory PoW
33,Equihash,Zclassic [93],06/11/2016,12.5,21 million,2.5m,Memory PoW
